x,y
0.01,0
0.0199984,0.000180361
0.0299919,0.000540364
0.0399774,0.00107917
0.0499517,0.00179585
0.0599117,0.00268934
0.0698543,0.00375848
0.0797767,0.00500202
0.0896759,0.0064186
0.099549,0.00800677
0.109393,0.009765
0.119206,0.0116917
0.128984,0.0137851
0.138726,0.0160434
0.148428,0.0184648
0.158089,0.0210474
0.167706,0.0237892
0.177276,0.0266882
0.186799,0.0297422
0.196271,0.0329491
0.20569,0.0363067
0.215055,0.0398128
0.224364,0.0434651
0.233616,0.0472613
0.242808,0.0511991
0.251939,0.0552761
0.261008,0.05949
0.270013,0.0638383
0.278953,0.0683187
0.287827,0.0729287
0.296634,0.077666
0.305372,0.082528
0.314041,0.0875125
0.322641,0.0926169
0.331169,0.0978389
0.339625,0.103176
0.34801,0.108626
0.356321,0.114186
0.36456,0.119855
0.372724,0.125629
0.380815,0.131506
0.388831,0.137485
0.396772,0.143562
0.404639,0.149736
0.41243,0.156004
0.420147,0.162365
0.427788,0.168815
0.435355,0.175354
0.442846,0.181978
0.450262,0.188686
0.457604,0.195475
0.464872,0.202344
0.472065,0.209291
0.479184,0.216314
0.486229,0.223411
0.493201,0.23058
0.5001,0.237818
0.506927,0.245126
0.513681,0.2525
0.520364,0.259939
0.526976,0.267441
0.533517,0.275005
0.539988,0.282629
0.54639,0.290311
0.552723,0.298051
0.558987,0.305845
0.565184,0.313694
0.571313,0.321595
0.577376,0.329548
0.583373,0.33755
0.589305,0.3456
0.595173,0.353698
0.600977,0.361841
0.606718,0.370029
0.612396,0.378261
0.618013,0.386534
0.623568,0.394849
0.629064,0.403204
0.6345,0.411597
0.639877,0.420028
0.645196,0.428496
0.650458,0.437
0.655663,0.445539
0.660812,0.454111
0.665906,0.462716
0.670946,0.471354
0.675932,0.480022
0.680865,0.48872
0.685746,0.497448
0.690575,0.506205
0.695354,0.514989
0.700082,0.523801
0.704761,0.532639
0.709392,0.541502
0.713974,0.55039
0.71851,0.559303
0.722998,0.568239
0.727441,0.577197
0.731839,0.586178
0.736193,0.595181
0.740502,0.604205
0.744769,0.613249
0.748993,0.622313
0.753175,0.631396
0.757317,0.640498
0.761417,0.649619
0.765478,0.658757
0.7695,0.667913
0.773483,0.677085
0.777429,0.686274
0.781337,0.695479
0.785208,0.704699
0.789043,0.713934
0.792843,0.723184
0.796608,0.732449
0.800338,0.741727
0.804035,0.751018
0.807698,0.760323
0.811329,0.769641
0.814928,0.778971
0.818495,0.788313
0.822032,0.797667
0.825538,0.807032
0.829014,0.816408
0.83246,0.825796
0.835878,0.835193
0.839279,0.844597
0.842658,0.854009
0.846017,0.863428
0.849355,0.872854
0.852674,0.882288
0.855973,0.891728
0.859252,0.901175
0.862513,0.910628
0.865755,0.920088
0.868979,0.929554
0.872186,0.939026
0.875375,0.948504
0.878547,0.957988
0.881702,0.967477
0.884841,0.976971
0.887963,0.986471
0.89107,0.995977
0.894162,1.00549
0.897238,1.015
0.900299,1.02452
0.903346,1.03405
0.906379,1.04358
0.909398,1.05311
0.912403,1.06265
0.915394,1.07219
0.918373,1.08173
0.921338,1.09128
0.924291,1.10084
0.927232,1.1104
0.930161,1.11996
0.933078,1.12952
0.935983,1.13909
0.938877,1.14866
0.941761,1.15824
0.944633,1.16782
0.947495,1.1774
0.950346,1.18698
0.953187,1.19657
0.956019,1.20616
0.95884,1.21576
0.961653,1.22535
0.964456,1.23495
0.96725,1.24455
0.970035,1.25416
0.972812,1.26377
0.97558,1.27337
0.978341,1.28299
0.981093,1.2926
0.983837,1.30222
0.986574,1.31183
0.989303,1.32145
0.992025,1.33108
0.99474,1.3407
0.997448,1.35033
1.00015,1.35996
1.00284,1.36959
1.00553,1.37922
1.00821,1.38885
1.01089,1.39849
1.01356,1.40812
1.01623,1.41776
1.01888,1.4274
1.02154,1.43704
1.02419,1.44669
1.02683,1.45633
1.02947,1.46598
1.0321,1.47562
1.03473,1.48527
1.03735,1.49492
1.03997,1.50457
1.04259,1.51422
1.0452,1.52388
1.0478,1.53353
1.05041,1.54319
1.05301,1.55284
1.0556,1.5625
1.05819,1.57216
1.06078,1.58182
1.06337,1.59148
1.06595,1.60114
1.06853,1.6108
1.0711,1.62046
1.07368,1.63013
1.07625,1.63979
1.07881,1.64946
1.08138,1.65912
1.08394,1.66879
1.0865,1.67845
1.08906,1.68812
1.09161,1.69779
1.09417,1.70746
1.09672,1.71713
1.09927,1.7268
1.10187,1.73645
1.10449,1.7461
1.10712,1.75575
1.10977,1.76539
1.11244,1.77503
1.11512,1.78467
1.11781,1.7943
1.12052,1.80392
1.12325,1.81354
1.12599,1.82316
1.12874,1.83277
1.13151,1.84238
1.13429,1.85199
1.13708,1.86159
1.13989,1.87119
1.14271,1.88078
1.14555,1.89037
1.14839,1.89996
1.15126,1.90954
1.15413,1.91912
1.15701,1.92869
1.15991,1.93826
1.16282,1.94783
1.16574,1.95739
1.16868,1.96695
1.17162,1.97651
1.17458,1.98606
1.17755,1.99561
1.18053,2.00516
1.18352,2.0147
1.18653,2.02424
1.18954,2.03377
1.19256,2.04331
1.1956,2.05283
1.19864,2.06236
1.2017,2.07188
1.20477,2.0814
1.20784,2.09091
1.21093,2.10043
1.21402,2.10993
1.21713,2.11944
1.22025,2.12894
1.22337,2.13844
1.22651,2.14794
1.22965,2.15743
1.2328,2.16692
1.23597,2.17641
1.23914,2.18589
1.24232,2.19537
1.24551,2.20485
1.24871,2.21432
1.25191,2.22379
1.25513,2.23326
1.25835,2.24273
1.26159,2.25219
1.26483,2.26165
1.26807,2.27111
1.27133,2.28057
1.2746,2.29002
1.27787,2.29947
1.28115,2.30891
1.28444,2.31836
1.28773,2.3278
1.29103,2.33724
1.29435,2.34667
1.29766,2.35611
1.30099,2.36554
1.30432,2.37497
1.30766,2.38439
1.31101,2.39382
1.31436,2.40324
1.31793,2.41258
1.32155,2.4219
1.32522,2.4312
1.32893,2.44049
1.33269,2.44976
1.33649,2.459
1.34034,2.46823
1.34423,2.47745
1.34817,2.48664
1.35215,2.49581
1.35617,2.50497
1.36023,2.51411
1.36433,2.52323
1.36847,2.53233
1.37265,2.54142
1.37686,2.55048
1.38112,2.55953
1.38541,2.56857
1.38974,2.57758
1.3941,2.58658
1.3985,2.59556
1.40294,2.60452
1.4074,2.61347
1.4119,2.6224
1.41644,2.63131
1.42101,2.64021
1.4256,2.64909
1.43023,2.65795
1.43489,2.6668
1.43958,2.67563
1.44431,2.68445
1.44905,2.69325
1.45383,2.70203
1.45864,2.7108
1.46347,2.71955
1.46834,2.72829
1.47322,2.73701
1.47814,2.74572
1.48308,2.75442
1.48805,2.7631
1.49304,2.77176
1.49806,2.78041
1.5031,2.78905
1.50816,2.79767
1.51404,2.80576
1.52003,2.81377
1.52611,2.8217
1.5323,2.82956
1.53859,2.83734
1.54497,2.84503
1.55145,2.85265
1.55802,2.86019
1.56468,2.86765
1.57143,2.87503
1.57826,2.88233
1.58518,2.88955
