epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.10472,1.82819,4.53475,1.50847,0.00153,0.57895,0.00345,0.00084,1.40284,4.43135,1.35435,0.0001,0.0001,0.0001
2,4.60381,1.55089,3.97071,1.24966,0.00257,0.97368,0.04059,0.01745,1.22448,3.83546,1.00482,0.000218548,0.000218548,0.000218548
3,6.07076,1.46105,2.84019,1.14508,0.00257,0.97368,0.09048,0.0349,1.24918,3.61599,1.02973,0.000335512,0.000335512,0.000335512
4,7.63602,1.38006,2.71385,1.16147,0.0025,0.94737,0.1017,0.02887,1.46631,3.91373,1.2037,0.000450892,0.000450892,0.000450892
5,9.08601,1.34569,2.57524,1.1567,0.0025,0.94737,0.0201,0.00767,1.23754,3.71203,1.02447,0.000564688,0.000564688,0.000564688
6,10.5272,1.43334,2.04494,1.14772,0.00257,0.97368,0.01915,0.01232,1.1339,3.53317,0.93317,0.0006769,0.0006769,0.0006769
7,11.9706,1.48606,2.26316,1.20621,0.0025,0.94737,0.00664,0.00333,1.24304,3.94236,1.07899,0.000787528,0.000787528,0.000787528
8,13.4267,1.4191,1.95848,1.1818,0.00257,0.97368,0.01676,0.01027,1.20895,3.65271,1.00384,0.000896572,0.000896572,0.000896572
9,14.8865,1.25345,1.85608,1.11549,0.11723,0.23684,0.07277,0.03399,1.28079,3.46425,1.01492,0.00100403,0.00100403,0.00100403
10,16.3324,1.252,1.87928,1.13413,1,0.19708,0.78344,0.44986,1.28636,3.24835,1.01236,0.00110991,0.00110991,0.00110991
11,17.7912,1.21952,1.64412,1.09375,0.96097,0.64809,0.89211,0.55572,1.31053,2.82017,0.99056,0.0012142,0.0012142,0.0012142
12,19.2467,1.22028,1.72309,1.11939,0.01896,0.34211,0.02432,0.01502,1.20976,11.0679,1.00969,0.00131691,0.00131691,0.00131691
13,20.694,1.29374,1.82818,1.19133,0.92309,0.31587,0.75912,0.43458,1.36275,3.08173,1.1145,0.00141803,0.00141803,0.00141803
14,22.146,1.24033,1.49756,1.11851,1,0.33025,0.78646,0.46346,1.39032,2.87301,1.08778,0.00151757,0.00151757,0.00151757
15,23.5911,1.29556,1.53926,1.10918,0.22793,0.5,0.20411,0.11243,1.36583,2.8191,1.13641,0.00161553,0.00161553,0.00161553
16,25.0559,1.19095,1.43311,1.03884,0.94321,0.8742,0.94375,0.5778,1.2573,1.90156,1.02544,0.0017119,0.0017119,0.0017119
17,26.5095,1.14818,1.41853,1.05822,0.96828,0.80354,0.94683,0.6031,1.20545,1.96413,1.00886,0.0017888,0.0017888,0.0017888
18,27.9997,1.17154,1.41166,1.07382,0.1832,0.76316,0.18354,0.10613,1.27644,2.55717,1.05327,0.0017756,0.0017756,0.0017756
19,29.4531,1.13202,1.47436,1.0558,0.99268,0.94737,0.96485,0.55335,1.27722,1.49534,1.02557,0.0017624,0.0017624,0.0017624
20,30.9098,1.17973,1.35996,1.07037,0.99396,0.97368,0.97503,0.55124,1.40377,1.37855,1.07455,0.0017492,0.0017492,0.0017492
21,32.3568,1.22954,1.25601,1.08855,0.82471,0.86842,0.92723,0.56439,1.34724,1.33541,1.04505,0.001736,0.001736,0.001736
22,33.811,1.20454,1.2888,1.06357,0.6118,0.66368,0.63585,0.38962,1.25244,1.59776,1.02834,0.0017228,0.0017228,0.0017228
23,35.2693,1.16106,1.20806,1.02003,0.64032,0.71053,0.7461,0.4584,1.17104,1.78679,1.01681,0.0017096,0.0017096,0.0017096
24,36.7256,1.01144,1.21614,1.03051,0.98694,0.92105,0.97092,0.65815,1.1356,1.00401,1.00814,0.0016964,0.0016964,0.0016964
25,38.1924,1.0462,1.07139,1.01098,0.94021,0.97368,0.96858,0.67426,1.12774,0.93417,1.03509,0.0016832,0.0016832,0.0016832
26,39.6594,1.10534,1.06913,1.03543,0.97225,0.97368,0.97424,0.63765,1.21244,0.89342,1.05001,0.00167,0.00167,0.00167
27,41.1061,1.10499,1.10238,1.04716,0.98328,0.97368,0.97503,0.68075,1.09721,0.90412,0.99488,0.0016568,0.0016568,0.0016568
28,42.5819,1.13895,1.04142,1.04475,0.96942,0.94737,0.9466,0.48656,1.57142,1.11305,1.22271,0.0016436,0.0016436,0.0016436
29,44.0333,1.08373,1.01388,1.01166,0.96733,0.94737,0.95674,0.5163,1.4803,1.05151,1.17763,0.0016304,0.0016304,0.0016304
30,45.4961,1.17697,1.11654,1.08409,0.99726,0.92105,0.96759,0.60391,1.33274,1.04027,1.14757,0.0016172,0.0016172,0.0016172
31,46.949,1.11393,1.05343,1.06357,0.97547,0.92105,0.96992,0.61329,1.32863,1.00674,1.16215,0.001604,0.001604,0.001604
32,48.4114,1.13297,0.96805,1.08988,1,0.96981,0.97503,0.59177,1.31276,0.89175,1.14616,0.0015908,0.0015908,0.0015908
33,49.8603,1.06203,0.96046,1.03417,0.99483,0.94737,0.97349,0.62649,1.23756,0.91378,1.09967,0.0015776,0.0015776,0.0015776
34,51.3124,1.03689,0.92898,1.00629,1,0.9415,0.97278,0.57183,1.41174,0.95433,1.11902,0.0015644,0.0015644,0.0015644
35,52.7803,0.9829,0.86758,0.99359,0.96388,0.97368,0.97292,0.58261,1.38867,0.9048,1.13421,0.0015512,0.0015512,0.0015512
36,54.2499,0.99729,0.86112,0.99774,0.99697,0.97368,0.97503,0.59093,1.31875,0.83403,1.1294,0.001538,0.001538,0.001538
37,55.7098,0.97213,0.84357,0.99491,1,0.96772,0.97503,0.59987,1.22792,0.87904,1.08141,0.0015248,0.0015248,0.0015248
